CMDLINE celery -A app:celery worker --loglevel=DEBUG --concurrency=4 -n worker1@%h
MEM 4.914062 1673151200.6058
MEM 22.359375 1673151200.7132
MEM 30.820312 1673151200.8205
MEM 35.960938 1673151200.9282
MEM 36.191406 1673151201.0357
CHLD 223434 30.015625 1673151201.0425
CHLD 223435 30.117188 1673151201.0426
CHLD 223436 30.117188 1673151201.0426
CHLD 223437 30.117188 1673151201.0426
MEM 37.679688 1673151201.1433
CHLD 223434 30.015625 1673151201.1514
CHLD 223435 30.117188 1673151201.1515
CHLD 223436 30.117188 1673151201.1515
CHLD 223437 30.117188 1673151201.1515
MEM 37.679688 1673151201.2525
CHLD 223434 30.015625 1673151201.2591
CHLD 223435 30.117188 1673151201.2592
CHLD 223436 30.117188 1673151201.2592
CHLD 223437 30.117188 1673151201.2592
MEM 37.679688 1673151201.3598
CHLD 223434 30.015625 1673151201.3735
CHLD 223435 30.117188 1673151201.3735
CHLD 223436 30.117188 1673151201.3736
CHLD 223437 30.117188 1673151201.3736
MEM 37.679688 1673151201.4742
CHLD 223434 30.015625 1673151201.4887
CHLD 223435 30.117188 1673151201.4888
CHLD 223436 30.117188 1673151201.4889
CHLD 223437 30.117188 1673151201.4889
MEM 37.679688 1673151201.5899
CHLD 223434 30.015625 1673151201.6055
CHLD 223435 30.117188 1673151201.6056
CHLD 223436 30.117188 1673151201.6057
CHLD 223437 30.117188 1673151201.6057
MEM 37.679688 1673151201.7065
CHLD 223434 30.015625 1673151201.7223
CHLD 223435 30.117188 1673151201.7224
CHLD 223436 30.117188 1673151201.7224
CHLD 223437 30.117188 1673151201.7225
MEM 37.679688 1673151201.8231
CHLD 223434 30.015625 1673151201.8387
CHLD 223435 30.117188 1673151201.8388
CHLD 223436 30.117188 1673151201.8388
CHLD 223437 30.117188 1673151201.8389
MEM 37.679688 1673151201.9396
CHLD 223434 30.015625 1673151201.9546
CHLD 223435 30.117188 1673151201.9547
CHLD 223436 30.117188 1673151201.9548
CHLD 223437 30.117188 1673151201.9548
MEM 37.679688 1673151202.0558
CHLD 223434 30.015625 1673151202.0715
CHLD 223435 30.117188 1673151202.0716
CHLD 223436 30.117188 1673151202.0716
CHLD 223437 30.117188 1673151202.0717
MEM 37.851562 1673151202.1727
CHLD 223434 30.015625 1673151202.1882
CHLD 223435 30.117188 1673151202.1883
CHLD 223436 30.117188 1673151202.1884
CHLD 223437 30.117188 1673151202.1884
MEM 37.851562 1673151202.2893
