CMDLINE celery -A app:celery worker --loglevel=DEBUG --concurrency=4 -n worker1@%h
MEM 8.523438 1673151440.7443
MEM 25.921875 1673151440.8573
MEM 35.929688 1673151440.9714
MEM 126.613281 1673151441.0865
CHLD 224402 30.140625 1673151441.0927
CHLD 224403 30.148438 1673151441.0927
CHLD 224404 30.156250 1673151441.0927
MEM 158.269531 1673151441.2016
CHLD 224402 30.140625 1673151441.2072
CHLD 224403 30.148438 1673151441.2072
CHLD 224404 30.156250 1673151441.2072
CHLD 224405 30.156250 1673151441.2073
MEM 158.269531 1673151441.3155
CHLD 224402 30.140625 1673151441.3211
CHLD 224403 30.148438 1673151441.3212
CHLD 224404 30.156250 1673151441.3212
CHLD 224405 30.156250 1673151441.3212
MEM 158.269531 1673151441.4300
CHLD 224402 30.140625 1673151441.4358
CHLD 224403 30.148438 1673151441.4359
CHLD 224404 30.156250 1673151441.4359
CHLD 224405 30.156250 1673151441.4359
MEM 158.269531 1673151441.5447
CHLD 224402 30.140625 1673151441.5503
CHLD 224403 30.148438 1673151441.5503
CHLD 224404 30.156250 1673151441.5504
CHLD 224405 30.156250 1673151441.5504
MEM 158.269531 1673151441.6577
CHLD 224402 30.140625 1673151441.6633
CHLD 224403 30.148438 1673151441.6633
CHLD 224404 30.156250 1673151441.6634
CHLD 224405 30.156250 1673151441.6634
MEM 158.269531 1673151441.7721
CHLD 224402 30.140625 1673151441.7776
CHLD 224403 30.148438 1673151441.7777
CHLD 224404 30.156250 1673151441.7777
CHLD 224405 30.156250 1673151441.7777
MEM 158.269531 1673151441.8920
CHLD 224402 30.140625 1673151441.9045
CHLD 224403 30.148438 1673151441.9046
CHLD 224404 30.156250 1673151441.9046
CHLD 224405 30.156250 1673151441.9047
MEM 158.269531 1673151442.0185
CHLD 224402 30.140625 1673151442.0312
CHLD 224403 30.148438 1673151442.0312
CHLD 224404 30.156250 1673151442.0313
CHLD 224405 30.156250 1673151442.0313
MEM 158.269531 1673151442.1474
CHLD 224402 30.140625 1673151442.1630
CHLD 224403 30.148438 1673151442.1630
CHLD 224404 30.156250 1673151442.1630
CHLD 224405 30.156250 1673151442.1630
MEM 158.472656 1673151442.2719
CHLD 224402 30.140625 1673151442.2779
CHLD 224403 30.148438 1673151442.2779
CHLD 224404 30.156250 1673151442.2779
CHLD 224405 30.156250 1673151442.2780
MEM 158.472656 1673151442.3924
CHLD 224402 30.140625 1673151442.4047
CHLD 224403 30.148438 1673151442.4048
CHLD 224404 30.156250 1673151442.4048
CHLD 224405 30.156250 1673151442.4049
MEM 158.472656 1673151442.5195
CHLD 224402 30.140625 1673151442.5320
CHLD 224403 30.148438 1673151442.5320
CHLD 224404 30.156250 1673151442.5321
CHLD 224405 30.156250 1673151442.5321
MEM 158.472656 1673151442.6461
CHLD 224402 30.140625 1673151442.6586
CHLD 224403 30.148438 1673151442.6586
CHLD 224404 30.156250 1673151442.6586
CHLD 224405 30.156250 1673151442.6587
MEM 158.472656 1673151442.7729
CHLD 224402 30.140625 1673151442.7857
CHLD 224403 30.148438 1673151442.7857
CHLD 224404 30.156250 1673151442.7857
CHLD 224405 30.156250 1673151442.7858
MEM 158.472656 1673151442.9001
CHLD 224402 30.140625 1673151442.9130
CHLD 224403 30.148438 1673151442.9131
CHLD 224404 30.156250 1673151442.9131
CHLD 224405 30.156250 1673151442.9131
MEM 158.472656 1673151443.0269
CHLD 224402 30.140625 1673151443.0401
CHLD 224403 30.148438 1673151443.0401
CHLD 224404 30.156250 1673151443.0402
CHLD 224405 30.156250 1673151443.0402
MEM 158.472656 1673151443.1479
CHLD 224402 30.140625 1673151443.1543
CHLD 224403 30.148438 1673151443.1543
CHLD 224404 30.156250 1673151443.1543
CHLD 224405 30.156250 1673151443.1543
MEM 158.472656 1673151443.2624
CHLD 224402 30.140625 1673151443.2685
CHLD 224403 30.148438 1673151443.2686
CHLD 224404 30.156250 1673151443.2686
CHLD 224405 30.156250 1673151443.2686
MEM 158.472656 1673151443.3777
CHLD 224402 30.140625 1673151443.3841
CHLD 224403 30.148438 1673151443.3841
CHLD 224404 30.156250 1673151443.3841
CHLD 224405 30.156250 1673151443.3841
MEM 158.472656 1673151443.4934
CHLD 224402 30.140625 1673151443.4996
CHLD 224403 30.148438 1673151443.4997
CHLD 224404 30.156250 1673151443.4997
CHLD 224405 30.156250 1673151443.4998
MEM 158.472656 1673151443.6141
CHLD 224402 30.140625 1673151443.6264
CHLD 224403 30.148438 1673151443.6265
CHLD 224404 30.156250 1673151443.6265
CHLD 224405 30.156250 1673151443.6266
MEM 158.472656 1673151443.7408
CHLD 224402 30.140625 1673151443.7538
CHLD 224403 30.148438 1673151443.7539
CHLD 224404 30.156250 1673151443.7539
CHLD 224405 30.156250 1673151443.7539
MEM 158.472656 1673151443.8678
CHLD 224402 30.140625 1673151443.8802
CHLD 224403 30.148438 1673151443.8803
CHLD 224404 30.156250 1673151443.8803
CHLD 224405 30.156250 1673151443.8804
MEM 158.472656 1673151443.9950
CHLD 224402 30.140625 1673151444.0077
CHLD 224403 30.148438 1673151444.0077
CHLD 224404 30.156250 1673151444.0078
CHLD 224405 30.156250 1673151444.0078
MEM 158.472656 1673151444.1216
CHLD 224402 30.140625 1673151444.1344
CHLD 224403 30.148438 1673151444.1345
CHLD 224404 30.156250 1673151444.1345
CHLD 224405 30.156250 1673151444.1346
MEM 158.472656 1673151444.2486
CHLD 224402 30.140625 1673151444.2614
CHLD 224403 30.148438 1673151444.2615
CHLD 224404 30.156250 1673151444.2615
CHLD 224405 30.156250 1673151444.2615
MEM 158.472656 1673151444.3757
CHLD 224402 30.140625 1673151444.3880
CHLD 224403 30.148438 1673151444.3881
CHLD 224404 30.156250 1673151444.3881
CHLD 224405 30.156250 1673151444.3881
MEM 158.472656 1673151444.5027
CHLD 224402 30.140625 1673151444.5158
CHLD 224403 30.148438 1673151444.5159
CHLD 224404 30.156250 1673151444.5159
CHLD 224405 30.156250 1673151444.5160
MEM 160.367188 1673151444.6236
CHLD 224402 30.140625 1673151444.6294
CHLD 224403 31.992188 1673151444.6294
CHLD 224404 30.156250 1673151444.6294
CHLD 224405 30.156250 1673151444.6294
MEM 160.367188 1673151444.7435
CHLD 224402 30.140625 1673151444.7571
CHLD 224403 31.992188 1673151444.7572
